"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\lexer.rs", "Rust", 55, 0, 7, 62
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\position.rs", "Rust", 51, 0, 2, 53
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\token.rs", "Rust", 150, 3, 5, 158
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\lib\string_with_arrows.rs", "Rust", 87, 6, 7, 100
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\main.rs", "Rust", 36, 1, 8, 45
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\salut.rs", "Rust", 10, 0, 1, 11
"Total", "-", 389, 10, 30, 429
