"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\errors\errors.rs", "Rust", 67, 1, 5, 73
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\lexer.rs", "Rust", 35, 26, 1, 62
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\position.rs", "Rust", 1, 0, 0, 1
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\runner.rs", "Rust", 10, 1, 2, 13
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\basic\token.rs", "Rust", 0, 0, 2, 2
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\lib\string_with_arrows.rs", "Rust", 0, 1, 0, 1
"c:\Users\JHGip\OneDrive\Documents\RedGear-Projects\RedgearLanguagerust\src\main.rs", "Rust", 18, 0, 0, 18
"Total", "-", 131, 29, 10, 170
